0,1,2,3,4,5,6,7,8,9,10,11,12,13
19,4,171999,11,9,4,7,3,4,0,3,0,40,39
22,4,174391,11,9,4,1,3,4,0,1,0,41,39
21,4,235492,11,9,4,8,3,4,0,2,0,34,39
24,4,291144,11,9,4,6,4,4,0,2,0,40,39
23,4,205991,11,9,4,8,1,4,0,1,0,31,39
30,4,207889,2,2,4,8,1,4,0,1,0,40,29
28,4,232961,11,9,4,7,1,4,0,1,0,38,39
24,4,146004,11,9,4,8,1,4,0,1,0,35,39
28,4,184595,11,9,4,1,1,4,0,1,0,52,39
28,4,201218,8,13,4,10,3,4,0,2,0,40,39
22,4,166426,11,9,4,7,3,4,0,2,0,38,39
40,4,227731,11,9,4,5,1,4,0,1,0,51,39
24,4,117078,11,9,4,1,1,4,0,0,0,37,39
29,4,262762,11,9,4,5,1,4,0,1,0,47,39
18,4,111693,0,6,4,12,3,4,0,5,1,16,39
19,4,166562,6,5,4,12,3,4,0,5,0,39,39
26,4,197882,11,9,4,8,1,4,0,1,0,33,39
31,4,190259,11,9,4,8,3,4,0,1,0,32,39
29,4,187724,11,9,4,8,1,4,0,1,0,35,39
24,4,195748,10,10,4,2,1,4,0,1,0,37,39
19,4,171841,11,9,4,8,3,4,0,2,0,17,39
20,4,209039,6,10,4,9,3,4,0,3,0,21,39
27,4,246539,11,9,4,11,1,4,0,1,0,44,39
32,4,52630,11,9,4,7,1,4,0,1,0,40,39
25,4,164929,11,9,4,8,3,4,0,1,0,37,39
22,4,126101,11,9,4,6,1,4,0,1,0,34,39
28,4,76090,11,9,4,8,1,4,0,1,0,37,39
38,4,67038,11,9,4,8,1,4,0,1,0,15,39
24,4,223715,11,9,4,8,1,4,0,1,0,41,39
36,4,182675,11,9,4,11,1,4,0,1,0,39,39
29,4,393992,11,9,4,8,1,4,0,1,0,35,39
53,4,185603,11,9,5,12,4,4,0,2,0,38,39
20,4,264035,11,9,4,10,3,4,0,2,0,29,39
21,4,284327,11,9,4,1,1,4,0,1,0,41,39
20,4,478792,11,9,4,1,1,4,0,1,0,36,39
20,4,152915,11,9,4,12,1,4,0,2,0,31,39
32,4,156290,11,9,4,7,3,4,0,1,0,38,39
27,4,237383,7,12,4,10,2,4,0,2,0,40,39
53,4,404047,11,9,4,1,1,4,0,1,0,37,39
19,4,239004,11,9,4,8,3,4,0,3,0,27,39
34,4,117218,11,9,4,8,1,4,0,1,0,40,39
42,4,281705,11,9,4,1,1,4,0,1,0,39,39
39,4,160521,11,9,4,1,3,4,0,1,0,41,39
19,4,281677,11,9,4,8,1,4,0,2,0,44,39
24,4,262051,11,9,4,8,1,4,0,1,0,30,39
19,4,187426,11,9,4,8,3,4,0,3,0,30,39
29,4,311223,11,9,4,12,1,4,0,1,0,40,39
19,4,107278,11,9,4,8,3,4,0,2,0,13,39
19,4,156622,11,9,4,1,3,4,0,1,0,42,39
21,4,224019,11,9,4,1,1,4,0,1,0,39,39
28,4,263018,11,9,4,4,1,4,0,1,0,39,39
19,4,360184,11,9,4,7,1,4,0,5,0,40,39
27,4,262852,11,9,4,7,1,4,0,1,0,39,39
29,6,158850,9,13,4,10,3,4,0,2,0,38,39
26,4,84301,11,9,4,12,3,4,0,1,0,37,39
20,4,243952,11,9,4,12,3,4,0,2,0,38,39
40,4,251084,11,9,4,1,1,4,0,1,0,39,39
46,4,141796,11,9,4,1,2,4,0,1,0,41,39
20,4,273375,11,9,4,1,1,4,0,1,0,41,39
30,4,157204,11,9,4,8,3,4,0,2,0,37,39
24,4,207547,9,13,4,10,1,4,0,1,0,41,39
25,4,150347,11,9,4,12,3,4,0,1,0,37,39
35,4,45803,11,9,4,8,1,4,0,1,0,57,39
20,4,348880,11,9,4,1,3,4,0,1,0,41,39
41,4,223161,11,9,4,12,1,4,0,1,0,40,39
20,4,483816,11,9,4,2,3,4,0,1,0,42,23
27,4,191321,9,13,4,10,3,4,0,2,0,38,39
27,4,230225,11,9,4,12,1,4,0,1,0,35,39
66,4,197329,11,9,4,1,1,4,0,1,0,34,39
26,4,316928,9,13,4,2,1,4,0,1,0,41,39
26,4,92013,9,13,4,9,3,4,0,1,0,13,39
28,4,317908,11,9,4,12,1,4,0,1,0,39,39
21,4,151170,11,9,4,1,1,4,0,1,0,41,39
20,4,174878,11,9,4,12,1,4,0,2,0,39,39
29,4,170259,9,13,4,10,3,4,0,2,0,39,39
33,4,167707,11,9,4,1,1,4,0,0,0,40,39
40,4,346853,11,9,4,8,1,4,0,1,0,31,39
19,4,272934,11,9,4,12,3,4,0,2,0,21,39
20,4,249799,11,9,4,7,3,4,0,2,0,21,39
35,4,164775,11,9,4,3,2,4,0,1,0,39,39
31,4,196921,11,9,4,1,1,4,0,1,0,18,39
28,4,185535,11,9,4,12,1,4,0,1,0,42,39
32,4,49890,9,13,4,10,1,4,0,1,0,41,39
22,4,163611,7,12,4,1,3,4,0,1,0,41,39
18,4,106294,1,7,4,6,3,4,0,2,0,16,39
26,4,329395,11,9,4,1,1,4,0,1,0,46,39
30,4,161017,11,9,4,6,1,4,0,1,0,39,39
22,4,269288,4,3,4,8,1,4,0,1,0,40,29
19,4,97838,11,9,4,7,3,4,0,2,0,23,39
21,4,252000,8,11,4,8,3,4,0,2,0,17,39
26,4,90805,9,13,4,10,3,4,0,2,0,33,39
24,4,146608,3,9,4,9,4,4,0,2,0,25,39
19,4,289486,11,9,4,12,3,4,0,2,0,20,39
39,4,229726,6,5,4,8,1,4,0,2,0,32,22
33,4,160402,11,9,4,8,3,4,0,2,0,38,39
18,4,211993,1,7,4,8,3,4,0,2,0,24,39
19,4,283584,11,9,4,12,3,4,0,2,0,28,39
21,4,71899,11,9,4,12,1,4,0,1,0,38,39
35,4,241082,11,9,4,8,1,4,0,1,0,50,39
28,4,182080,9,13,4,1,2,4,0,1,0,41,39
31,4,147294,11,9,4,12,3,4,0,1,0,38,39
28,4,141052,8,11,4,4,1,4,0,1,0,38,39
34,4,292271,11,9,4,1,3,4,0,1,0,41,39
39,4,132049,11,9,4,8,1,4,0,1,0,39,39
28,4,178823,11,9,4,1,3,4,0,1,0,44,39
35,4,205632,11,9,4,8,1,4,0,1,0,38,39
30,4,277493,11,9,4,1,3,4,0,1,0,41,39
19,4,126663,11,9,4,9,3,4,0,2,0,15,39
56,4,143815,11,9,5,7,4,4,0,3,0,39,39
22,4,351739,11,9,4,1,3,4,0,1,0,41,39
53,4,118242,11,9,4,1,1,4,0,1,0,45,39
28,4,37614,11,9,4,6,1,4,0,1,0,39,39
21,4,198699,11,9,4,12,1,4,0,1,0,37,39
67,4,251921,11,9,4,1,1,4,0,1,0,36,39
20,4,226745,11,9,4,12,1,4,0,2,0,31,39
22,4,162719,7,12,4,1,3,4,0,1,0,42,39
45,4,174104,11,9,4,8,1,4,0,1,0,19,39
28,4,203122,11,9,4,13,1,4,0,1,0,40,39
18,4,237078,1,7,4,12,3,4,0,2,1,19,39
35,4,201807,11,9,4,12,3,4,0,1,0,40,39
39,4,262891,11,9,4,12,1,4,0,1,0,40,39
22,4,299110,11,9,4,1,1,4,0,1,0,45,39
23,4,357633,11,9,4,8,1,4,0,1,0,28,39
21,4,547333,11,9,4,1,3,4,0,1,0,43,28
20,4,241427,11,9,4,1,3,4,0,1,0,41,39
18,4,198148,1,7,4,8,3,4,0,3,0,21,39
24,4,191844,11,9,4,1,3,4,0,1,0,41,39
23,4,181483,11,9,4,1,3,4,0,1,0,41,39
22,4,338730,9,13,4,4,3,4,0,2,0,40,39
18,4,117444,1,7,4,9,3,4,0,3,0,21,39
19,4,231386,11,9,4,1,3,4,0,1,0,16,39
31,4,291810,8,11,4,2,1,4,0,1,0,40,39
25,4,231809,11,9,4,9,1,4,0,1,0,50,39
22,4,134200,11,9,4,12,3,4,0,2,0,36,39
19,4,212205,11,9,4,12,3,4,0,2,0,20,39
20,4,98820,9,10,4,9,3,4,0,1,0,15,39
31,4,184991,11,9,4,7,1,4,0,1,0,38,39
29,4,288316,11,9,4,6,1,4,0,1,0,44,39
30,4,59815,11,9,4,8,1,4,0,1,0,43,39
34,4,457274,7,6,4,9,1,4,0,2,0,20,26
42,4,131948,11,9,4,7,1,4,0,1,0,42,39
27,4,297838,8,11,4,9,1,4,0,1,0,40,39
29,4,41369,11,9,4,1,1,4,0,1,0,40,39
47,4,84990,11,9,5,1,1,4,0,1,0,39,39
26,4,314797,11,9,4,8,1,4,0,1,0,37,39
27,4,204860,9,13,4,10,1,4,0,1,0,33,39
28,4,161009,11,9,4,9,1,4,0,1,0,38,39
45,4,126255,11,9,4,1,1,4,0,1,0,42,39
32,4,365090,11,9,4,7,1,4,0,1,0,39,39
24,4,260761,2,8,4,1,3,4,0,1,0,29,39
26,4,322599,11,9,4,1,1,4,0,1,0,41,39
35,4,153547,9,13,4,1,1,4,0,0,0,41,39
23,4,212000,11,9,4,8,3,4,0,1,0,35,39
21,4,129313,0,5,4,12,1,4,0,4,0,31,39
27,4,385529,11,9,4,1,3,4,0,1,0,41,39
20,4,121737,11,9,4,8,1,4,0,1,0,39,39
23,4,428358,11,9,4,1,3,4,0,1,0,42,39
21,4,166702,11,9,4,9,3,4,0,2,0,39,39
20,4,179797,11,9,4,1,1,4,0,1,0,39,39
28,6,65459,9,13,4,10,1,4,0,1,0,34,39
24,4,108093,7,11,4,7,3,4,0,3,0,38,39
21,4,344274,2,9,4,1,4,4,0,1,0,45,39
19,4,97353,11,9,4,8,3,4,0,2,0,24,39
22,4,175796,11,9,4,12,3,4,0,1,0,38,39
18,4,169801,6,5,4,12,3,4,0,4,0,19,39
19,4,207436,11,9,4,12,3,4,0,2,0,38,39
39,4,164001,11,9,5,7,4,4,0,2,0,39,39
21,4,192121,7,12,4,8,3,4,0,2,0,39,39
19,4,235576,11,9,4,1,3,4,0,1,0,40,39
29,4,244160,11,9,4,5,1,4,0,1,0,49,39
65,4,214142,11,9,4,1,1,4,0,1,0,35,39
19,4,158376,11,9,4,12,3,4,0,2,0,30,39
26,4,287431,9,13,4,12,1,4,0,1,0,41,39
22,4,414970,11,9,4,1,1,4,0,1,0,38,39
23,4,332997,9,13,4,12,1,4,0,1,0,40,39
19,4,96221,1,7,4,9,3,4,0,2,0,24,39
20,4,471186,11,9,4,1,3,4,0,1,0,31,39
60,4,285805,11,9,4,1,1,4,0,1,0,38,39
26,4,424114,11,9,4,8,1,4,0,1,0,30,39
30,4,307476,9,13,4,3,1,4,0,1,0,47,39
19,4,181619,11,9,4,1,3,4,0,1,0,42,39
35,4,209291,11,9,4,7,1,4,0,1,0,49,39
22,4,454868,11,9,4,1,3,4,0,1,0,42,39
19,4,156608,11,9,4,8,3,4,0,3,0,38,39
21,4,197779,11,9,4,12,3,4,0,2,0,36,39
19,4,221259,1,7,4,2,2,4,0,1,0,22,39
22,4,441606,11,9,4,1,3,4,0,1,0,42,39
25,4,249163,11,9,4,7,1,4,0,1,0,41,39
24,4,183805,11,9,4,1,1,4,0,0,0,36,39
19,4,148383,1,7,4,12,1,4,0,2,0,35,39
38,4,436846,7,11,4,1,1,4,0,1,0,39,39
32,4,194992,8,13,4,1,2,4,0,1,0,41,39
19,4,148680,11,9,4,8,3,4,0,3,0,40,39
33,4,224663,11,9,4,9,1,4,0,1,0,37,39
20,4,187271,11,9,4,12,3,4,0,2,0,37,39
19,4,269040,11,9,4,1,3,4,0,1,0,17,39
27,4,229207,11,9,4,8,1,4,0,1,0,50,39
34,4,204550,11,9,4,8,1,4,0,1,0,38,39
27,4,71367,11,9,4,3,3,4,0,1,0,41,39
23,4,161456,11,9,4,14,3,4,0,1,0,38,39
19,4,327807,11,9,4,1,3,4,0,1,0,28,39
55,4,280857,11,9,4,1,1,4,0,1,0,38,39
21,4,348011,11,9,4,1,1,4,0,1,0,34,39
39,4,190743,11,9,5,8,1,4,0,1,0,42,39
31,4,44281,8,11,4,4,1,4,0,2,0,53,39
20,4,287614,11,9,4,8,3,4,0,2,0,18,39
23,4,302839,10,10,4,12,1,4,0,1,0,21,39
24,4,173989,11,9,4,1,1,4,0,0,0,33,39
20,4,119771,11,9,4,8,1,4,0,2,0,30,39
20,4,155203,11,9,4,1,3,4,0,1,0,43,39
38,4,106794,11,9,4,12,3,4,0,2,0,39,39
27,4,189320,11,9,4,8,1,4,0,1,0,38,39
30,4,191043,11,9,4,6,1,4,0,1,0,39,39
26,4,356233,11,9,4,3,3,4,0,1,0,41,39
30,4,327353,5,5,4,9,1,4,0,1,0,43,28
29,4,166225,11,9,4,4,1,4,0,1,0,45,39
19,4,153401,11,9,4,12,3,4,0,2,0,29,39
23,4,142338,1,7,4,12,1,4,0,1,0,42,39
33,4,142860,11,9,4,4,1,4,0,1,0,40,39
20,4,294196,11,9,4,12,1,4,0,1,0,38,39
28,4,164671,11,9,4,12,3,4,0,1,0,38,39
23,4,240290,11,9,4,8,1,4,0,1,0,33,39
37,4,107999,11,9,4,12,3,4,0,2,0,40,39
18,4,171846,1,7,4,9,3,4,0,2,0,14,39
31,4,89599,10,10,4,1,1,4,0,1,0,53,39
28,4,195356,11,9,4,2,3,4,0,1,0,40,39
18,4,272785,1,7,4,6,3,4,0,2,0,23,39
25,4,221629,11,9,4,2,3,4,0,1,0,33,39
34,4,328690,11,9,4,12,1,4,0,1,0,40,39
27,4,190210,11,9,4,8,3,4,0,1,0,38,39
24,4,309217,11,9,4,2,3,4,0,1,0,40,39
20,4,550307,11,9,4,8,3,4,0,1,0,41,28
21,4,171911,11,9,4,8,3,4,0,2,0,38,39
29,4,316286,11,9,4,12,1,4,0,1,0,47,39
19,4,289188,11,9,4,8,3,4,0,2,0,20,39
52,4,209115,3,3,5,8,1,4,0,1,0,39,32
20,4,176879,11,9,4,1,3,4,0,1,0,42,39
26,4,199338,11,9,4,8,1,4,0,1,0,37,39
19,4,246172,1,7,4,10,1,4,0,2,0,20,39
25,4,196983,8,13,4,1,3,4,0,1,0,41,39
20,4,184965,11,9,4,8,1,4,0,2,0,33,39
25,4,171108,11,9,4,1,1,4,0,0,0,43,39
27,4,364768,11,9,4,1,3,4,0,1,0,41,39
19,4,37602,11,9,4,1,3,4,0,1,0,31,39
22,4,195910,8,11,4,1,3,4,0,1,0,42,39
21,4,385278,11,9,4,1,3,4,0,1,0,41,39
20,4,70023,11,9,4,2,3,4,0,1,0,33,39
25,4,342332,11,9,4,12,1,4,0,1,0,39,39
21,4,251290,11,9,4,12,1,4,0,1,0,23,39
24,4,201163,9,13,4,12,1,4,0,1,0,41,39
25,4,284624,11,9,4,1,4,4,0,1,0,42,28
19,4,83372,11,9,4,8,3,4,0,2,0,23,39
20,4,308808,11,9,4,1,1,4,0,1,0,41,39
20,4,122915,11,9,4,8,1,4,0,2,0,31,39
31,4,250365,9,13,4,1,1,4,0,0,0,41,39
39,4,227499,11,9,4,1,1,4,0,1,0,39,39
19,4,138392,11,9,4,12,3,4,0,2,0,28,39
21,4,187373,8,13,4,12,3,4,0,2,0,28,39
19,4,283325,1,7,4,8,4,4,0,4,0,35,39
51,4,151295,11,9,4,1,1,4,0,1,0,36,39
37,4,71815,8,11,4,12,1,4,0,1,0,41,39
27,4,306389,8,11,4,1,1,4,0,1,0,40,39
30,4,251057,11,9,4,12,1,4,0,1,0,39,39
21,4,500712,11,9,4,1,3,4,0,1,0,42,39
44,4,243052,11,9,4,5,1,4,0,1,0,41,39
29,4,186680,11,9,4,6,1,4,0,1,0,39,39
30,4,225240,11,9,4,12,1,4,0,1,0,48,39
34,4,121815,11,9,4,8,1,4,0,1,0,39,39
27,4,45921,11,9,4,1,1,4,0,1,0,39,39
18,4,186228,2,8,4,7,3,4,0,3,0,27,39
19,4,151869,11,9,4,8,3,4,0,3,0,34,39
28,4,275421,11,9,4,7,1,4,0,1,0,35,39
19,4,40402,1,7,4,9,3,4,0,3,0,15,39
21,4,104648,7,12,4,6,1,4,0,1,0,38,39
24,4,158263,11,9,4,8,3,4,0,1,0,35,39
26,4,246572,9,13,4,1,1,4,0,0,0,41,39
19,4,126648,11,9,4,7,1,4,0,2,0,27,39
19,4,64900,11,9,4,12,3,4,0,2,0,24,39
20,4,213862,11,9,4,7,3,4,0,2,0,40,39
34,4,221124,9,13,4,12,1,4,0,1,0,42,39
31,4,117152,11,9,5,8,1,4,0,1,0,37,39
33,4,304683,11,9,4,1,1,4,0,1,0,40,39
22,4,99858,11,9,4,8,3,4,0,2,0,35,39
47,4,176992,11,9,5,1,1,4,0,1,0,40,39
22,4,216068,7,12,4,1,3,4,0,1,0,40,39
46,4,205894,11,9,4,1,1,4,0,1,0,39,39
18,4,107701,6,5,4,9,3,4,0,6,0,25,39
18,4,130921,0,6,4,8,3,4,0,6,0,24,39
18,4,185752,1,7,4,8,3,4,0,2,0,13,39
21,4,475906,11,9,4,1,3,4,0,1,0,41,39
19,4,114149,11,9,4,12,3,4,0,2,0,26,39
26,4,175237,9,13,4,10,3,4,0,2,0,19,39
28,4,180222,9,13,4,10,1,4,0,1,0,41,39
19,4,349317,11,9,4,1,3,4,0,1,0,26,39
35,4,325203,11,9,4,8,1,4,0,1,0,34,39
19,4,137363,11,9,4,7,3,4,0,2,0,15,39
37,4,65340,11,9,4,6,1,4,0,1,0,41,39
44,4,194089,9,13,4,10,1,4,0,1,0,44,39
22,4,250690,11,9,4,7,1,4,0,1,0,42,39
20,4,229980,11,9,4,8,3,4,0,2,0,33,39
24,4,190433,11,9,4,6,3,4,0,1,0,39,39
29,4,201313,11,9,4,5,1,4,0,1,0,39,39
18,4,159825,0,6,4,12,3,4,0,5,1,13,39
19,4,82287,11,9,4,12,3,4,0,2,0,18,39
32,4,337253,11,9,4,1,1,4,0,1,0,40,39
24,4,293114,11,9,4,1,1,4,0,1,0,39,39
18,4,115573,1,7,4,12,3,4,0,3,1,13,39
24,4,188870,9,13,4,5,1,4,0,1,0,40,39
18,4,174041,6,5,4,12,3,4,0,5,0,40,39
20,4,208273,11,9,4,1,1,4,0,1,0,41,39
19,4,209810,11,9,4,12,3,4,0,2,0,22,39
18,4,102167,1,7,4,8,3,4,0,2,0,14,39
37,4,148315,11,9,4,7,1,4,0,1,0,39,39
19,4,254052,11,9,4,1,3,4,0,1,0,16,39
19,4,200232,6,5,4,12,3,4,0,4,0,42,39
19,4,316041,11,9,4,1,3,4,0,1,0,41,39
29,4,346897,9,13,4,10,1,4,0,1,0,41,39
22,4,240540,9,13,4,5,3,4,0,2,0,41,39
19,4,256895,11,9,4,12,3,4,0,2,0,27,39
20,4,184704,11,9,4,1,3,4,0,1,0,42,39
20,4,170467,11,9,4,10,1,4,0,2,0,39,39
29,4,198800,11,9,4,1,1,4,0,1,0,52,39
19,4,113861,11,9,4,1,3,4,0,1,0,36,39
59,4,291753,11,9,4,1,1,4,0,1,0,38,39
53,4,273915,11,9,4,1,2,4,0,1,0,35,39
23,4,239784,11,9,4,3,3,4,0,1,0,40,39
36,4,158252,11,9,4,1,1,4,0,0,0,40,39
20,4,286884,11,9,4,1,3,4,0,1,0,41,39
44,4,119550,11,9,3,8,1,4,0,1,0,42,39
32,7,262392,8,13,4,5,1,4,0,0,0,38,39
52,4,192345,11,9,5,12,1,4,0,1,0,35,39
25,4,202963,11,9,4,1,3,4,0,1,0,40,39
38,4,182305,9,13,4,10,2,4,0,1,0,44,39
33,4,99696,11,9,4,8,1,4,0,1,0,22,39
20,4,235567,11,9,4,12,1,4,0,2,0,35,39
23,4,220904,3,9,4,8,1,4,0,1,0,37,39
29,4,202145,9,13,4,10,3,4,0,2,0,40,39
26,4,227262,11,9,4,12,1,4,0,1,0,34,39
48,4,234673,11,9,4,1,1,4,0,1,0,39,39
22,4,226250,7,12,4,4,3,4,0,1,0,34,39
23,4,174385,11,9,4,6,3,4,0,2,0,38,39
27,4,179881,9,13,4,10,1,4,0,1,0,41,39
36,4,77480,11,9,4,8,2,4,0,1,0,39,39
35,4,165016,11,9,4,8,1,4,0,1,0,43,39
33,4,509807,11,9,4,9,1,4,0,1,0,39,39
21,4,567788,11,9,4,4,3,4,0,1,0,43,25
23,4,226404,9,13,4,12,1,4,0,1,0,40,39
34,4,240752,9,13,4,10,1,4,0,1,0,41,39
29,4,182611,6,12,4,4,3,4,0,1,0,36,39
20,4,222312,11,9,4,8,1,4,0,2,0,44,39
27,4,274717,11,9,4,1,3,4,0,1,0,40,39
25,4,448010,11,9,4,1,3,4,0,1,0,41,39
32,4,161835,9,13,4,3,1,4,0,1,0,41,39
36,4,470730,11,9,4,5,1,4,0,1,0,40,39
35,4,160424,11,9,4,12,3,4,0,1,0,39,39
22,4,150852,11,9,4,1,3,4,0,1,0,42,39
35,4,40056,11,9,4,8,1,4,0,1,0,45,39
59,4,238027,11,9,4,1,1,4,0,1,0,37,39
18,4,178511,1,7,4,8,3,4,0,2,0,15,39
23,4,174673,11,9,4,1,3,4,0,1,0,41,39
30,4,220934,11,9,4,1,1,4,0,0,0,42,39
42,4,171710,7,12,4,10,1,4,0,1,0,43,39
22,4,180354,11,9,4,1,3,4,0,1,0,41,39
34,4,180307,11,9,5,8,1,4,0,1,0,38,39
25,4,163423,11,9,4,8,3,4,0,1,0,38,39
28,4,161310,11,9,4,12,1,4,0,1,0,47,39
18,4,220608,1,7,4,12,1,4,0,2,0,21,39
29,4,170196,11,9,4,7,2,4,0,1,0,38,39
32,4,260439,11,9,4,5,1,4,0,1,0,49,39
33,4,190680,11,9,4,1,2,4,0,1,0,38,39
30,4,276939,9,13,4,1,1,4,0,1,0,45,39
52,4,181151,11,9,5,1,1,4,0,1,0,40,39
19,4,403420,11,9,4,1,3,4,0,1,0,17,39
18,4,194085,1,7,4,12,3,4,0,3,1,13,39
36,5,153117,9,13,4,10,1,4,0,1,0,42,39
47,7,159412,8,13,4,7,3,4,0,1,0,38,39
25,4,299396,9,13,4,10,1,4,0,1,0,22,39
27,4,216839,4,3,4,8,1,4,0,1,0,39,26
37,4,347930,11,9,4,1,1,4,0,1,0,39,39
20,4,137861,1,7,4,12,1,4,0,1,0,41,39
33,4,168043,11,9,4,7,1,4,0,1,0,39,39
22,4,173058,11,9,4,10,3,4,0,2,0,37,39
41,4,59042,11,9,4,1,1,4,0,1,0,49,39
29,4,156351,11,9,4,8,1,4,0,1,0,30,39
20,4,175554,11,9,4,1,3,4,0,1,0,42,39
26,4,279173,11,9,4,1,1,4,0,1,0,51,39
24,4,224208,7,12,4,6,3,4,0,2,0,39,39
25,4,188894,11,9,4,1,1,4,0,0,0,41,39
19,4,39701,10,8,4,1,3,4,0,3,0,25,39
21,4,473713,11,9,4,1,3,4,0,1,0,35,39
23,4,182363,9,10,4,4,3,4,0,2,0,40,39
25,4,380590,11,9,4,1,3,4,0,1,0,41,39
30,4,128206,7,12,4,10,1,4,0,1,0,40,39
28,4,164004,11,9,4,8,3,4,0,1,0,37,39
